trip_duration_days,miles_traveled,total_receipts_amount,miles_per_day,spend_per_day,spend_per_mile,expected_output
5,948,898.6,189.6,179.72,0.95,1499.68
5,504,1502.63,100.8,300.53,2.98,1628.66
10,793,1422.29,79.3,142.23,1.79,2007.62
13,32,232.43,2.46,17.88,7.26,805.12
9,768,1815.6,85.33,201.73,2.36,1666.18
9,994,1742.62,110.44,193.62,1.75,1849.58
1,1105,1432.3,1105,1432.3,1.3,1387.17
12,178,507.59,14.83,42.3,2.85,907.19
10,472,431.95,47.2,43.2,0.92,924.65
5,716,1111.23,143.2,222.25,1.55,1492.08
3,771,725.67,257,241.89,0.94,1166.93
13,1054,1131.25,81.08,87.02,1.07,2162.03
10,872,2191.27,87.2,219.13,2.51,1776.62
12,1077,32.55,89.75,2.71,0.03,1387.43
12,211,749.56,17.58,62.46,3.55,1285.23
4,199,1310.01,49.75,327.5,6.58,1400.57
2,1029,1702.6,514.5,851.3,1.65,1577.55
10,643,2263.77,64.3,226.38,3.52,1685.92
10,797,1706.73,79.7,170.67,2.14,1724.42
12,657,322.5,54.75,26.88,0.49,1113.16
8,177,486.06,22.13,60.76,2.75,751.58
2,222,456.24,111,228.12,2.06,437.4
3,555,2342.76,185,780.92,4.22,1458.63
2,785,1964.63,392.5,982.32,2.5,1522.76
5,104,281.67,20.8,56.33,2.71,464.68
1,673,2026.16,673,2026.16,3.01,1372.83
10,877,1711.12,87.7,171.11,1.95,1897.37
1,250,1300.17,250,1300.17,5.2,1145.33
1,467,296.49,467,296.49,0.63,221.23
10,1026,828.82,102.6,82.88,0.81,1865.67
11,1106,2250.54,100.55,204.59,2.03,2050.62
12,452,816.56,37.67,68.05,1.81,1243.1
14,865,2497.16,61.79,178.37,2.89,1885.87
8,107,2450.89,13.38,306.36,22.91,1468.19
8,80,1092.18,10,136.52,13.65,1365.73
8,945,766.98,118.13,95.87,0.81,1625.53
13,1140,1607.8,87.69,123.68,1.41,2214.64
2,636,1438.19,318,719.1,2.26,1435.96
14,865,1422.11,61.79,101.58,1.64,1921.18
12,482,1710.47,40.17,142.54,3.55,1746.74
2,68,756.61,34,378.31,11.13,648.53
14,512,526.84,36.57,37.63,1.03,1306.64
14,1001,1647.24,71.5,117.66,1.65,2080
1,547,573.6,547,573.6,1.05,616.27
10,5,1338.9,0.5,133.89,267.78,1610.25
3,1158,1107.4,386,369.13,0.96,1361.3
1,993,1143.58,993,1143.58,1.15,1328.85
6,378,837.63,63,139.61,2.22,1215.96
11,1156,2231.86,105.09,202.9,1.93,1988.56
5,1050,882.86,210,176.57,0.84,1430.04
8,836,735.52,104.5,91.94,0.88,1606.63
11,654,1516.42,59.45,137.86,2.32,1870.43
8,633,1308.36,79.13,163.55,2.07,1639.12
12,713,1642.01,59.42,136.83,2.3,1873.19
5,96,1105.47,19.2,221.09,11.52,1312.16
7,1054,576.47,150.57,82.35,0.55,1344.18
12,495,1948.13,41.25,162.34,3.94,1831.92
1,1068,2011.28,1068,2011.28,1.88,1421.45
7,1000,1620.46,142.86,231.49,1.62,1971.23
13,855,1798.75,65.77,138.37,2.1,1951.77
8,544,1279.51,68,159.94,2.35,1483.77
11,816,544.99,74.18,49.54,0.67,1077.12
5,1080,2383.82,216,476.76,2.21,1664.76
8,1124,1908.69,140.5,238.59,1.7,1833.27
3,29,1632.85,9.67,544.28,56.31,1269.1
6,470,2235.72,78.33,372.62,4.76,1628.6
7,287,2293.5,41,327.64,7.99,1558.09
4,72,1367.29,18,341.82,18.99,1302.97
6,344,233.31,57.33,38.89,0.68,800.18
8,801,1241.21,100.13,155.15,1.55,1780.65
5,629,484.34,125.8,96.87,0.77,1029.87
11,327,961.08,29.73,87.37,2.94,1356.46
14,94,105.94,6.71,7.57,1.13,1180.63
4,1113,2103.82,278.25,525.96,1.89,1695.08
14,267,2090.21,19.07,149.3,7.83,1968.4
1,979,1292.54,979,1292.54,1.32,1313.53
10,625,519.94,62.5,51.99,0.83,1229.41
14,457,848.61,32.64,60.62,1.86,1492.64
11,398,723.39,36.18,65.76,1.82,1154.77
14,68,438.96,4.86,31.35,6.46,866.76
3,769,2497.93,256.33,832.64,3.25,1587.8
13,694,1054.31,53.38,81.1,1.52,1815.02
12,1088,1977.91,90.67,164.83,1.82,1883.21
9,101,950.23,11.22,105.58,9.41,1281.64
1,170,2452.85,170,2452.85,14.43,1209.08
12,1135,475.95,94.58,39.66,0.42,1447.39
3,1109,2092.26,369.67,697.42,1.89,1436.66
7,753,358.13,107.57,51.16,0.48,1084.79
2,521,467.19,260.5,233.6,0.9,667.85
12,1003,983.23,83.58,81.94,0.98,1996.18
3,269,708.05,89.67,236.02,2.63,799.12
14,646,2418.19,46.14,172.73,3.74,1931.21
14,1153,346.58,82.36,24.76,0.3,1292.93
4,18,289.06,4.5,72.27,16.06,380.88
13,1167,1074.36,89.77,82.64,0.92,2197.33
1,1113,1536,1113,1536,1.38,1403.6
6,930,1907.95,155,317.99,2.05,1788.75
5,714,617.72,142.8,123.54,0.87,1164.2
7,256,2180.53,36.57,311.5,8.52,1548.87
9,1063,2497.79,118.11,277.53,2.35,1761.94
11,512,2016.19,46.55,183.29,3.94,1710.53
9,463,1024.53,51.44,113.84,2.21,1476.48
12,714,2003.23,59.5,166.94,2.81,1829.06
9,1165,1868.79,129.44,207.64,1.6,1945.95
1,872,2420.07,872,2420.07,2.78,1456.34
10,631,1220.71,63.1,122.07,1.93,1730.86
9,633,888.17,70.33,98.69,1.4,1384.78
4,1065,119.34,266.25,29.84,0.11,781.82
12,947,193.05,78.92,16.09,0.2,1225.63
4,159,568.58,39.75,142.15,3.58,647
1,292,449.83,292,449.83,1.54,363.02
1,1115,926.13,1115,926.13,0.83,1192.88
7,1168,667.94,166.86,95.42,0.57,1639.55
4,348,2047.08,87,511.77,5.88,1507.04
8,77,1930.98,9.63,241.37,25.08,1485.69
7,1033,1013.03,147.57,144.72,0.98,2119.83
4,672,1603.52,168,400.88,2.39,1612.43
4,1191,999.45,297.75,249.86,0.84,1478.93
8,392,661.27,49,82.66,1.69,978.13
7,951,584.4,135.86,83.49,0.61,1253.76
5,778,2423.47,155.6,484.69,3.12,1643.96
11,958,1999.13,87.09,181.74,2.09,1900.18
3,186,1068.31,62,356.1,5.74,1152.04
5,1116,2460.46,223.2,492.09,2.2,1711.97
13,63,107.92,4.85,8.3,1.71,710.25
6,170,476.99,28.33,79.5,2.81,600.23
3,870,413.23,290,137.74,0.47,795.8
12,852,1957.9,71,163.16,2.3,1944.89
6,420,386.77,70,64.46,0.92,929.16
6,668,1922.45,111.33,320.41,2.88,1796.98
8,795,1645.99,99.38,205.75,2.07,644.69
4,420,927.74,105,231.94,2.21,1238.04
12,1074,2407.71,89.5,200.64,2.24,1843.97
12,916,2394.85,76.33,199.57,2.61,1740.85
4,1075,586.17,268.75,146.54,0.55,1023.65
5,1143,1217.72,228.6,243.54,1.07,1745.09
2,719,591.44,359.5,295.72,0.82,755.3
4,197,1858.84,49.25,464.71,9.44,1416.33
6,248,395.4,41.33,65.9,1.59,710.15
10,834,1820.8,83.4,182.08,2.18,1883.49
1,1112,2011.44,1112,2011.44,1.81,1423.85
12,1189,1453.16,99.08,121.1,1.22,2162.13
14,269,1349.61,19.21,96.4,5.02,1832.34
7,671,1262.85,95.86,180.41,1.88,1600.42
9,52,350.58,5.78,38.95,6.74,601.81
14,976,1526.58,69.71,109.04,1.56,1995.87
2,370,1554.5,185,777.25,4.2,1311.23
4,1180,1948.55,295,487.14,1.65,1565.16
5,36,2022.94,7.2,404.59,56.19,1410.58
5,691,1030.64,138.2,206.13,1.49,1465.26
8,52,2353.5,6.5,294.19,45.26,1485.05
11,24,2029.04,2.18,184.46,84.54,1569.37
8,221,936.98,27.63,117.12,4.24,1287
1,85,89.83,85,89.83,1.06,175.53
7,803,12.75,114.71,1.82,0.02,1146.78
12,893,910.41,74.42,75.87,1.02,1862.13
14,113,1091.13,8.07,77.94,9.66,1703.02
5,516,1878.49,103.2,375.7,3.64,669.85
14,904,2005.96,64.57,143.28,2.22,1970.01
1,1058,1601.04,1058,1601.04,1.51,1465.9
14,555,313.73,39.64,22.41,0.57,1201.26
7,738,730.28,105.43,104.33,0.99,1429.72
8,792,2437.24,99,304.66,3.08,1556.7
5,831,432.8,166.2,86.56,0.52,901.36
7,709,320.8,101.29,45.83,0.45,1116.62
9,1078,161.85,119.78,17.98,0.15,1260.96
2,616,968.93,308,484.47,1.57,1163.1
2,570,2297.12,285,1148.56,4.03,1423.86
9,13,986.41,1.44,109.6,75.88,1271.52
7,381,2106.96,54.43,300.99,5.53,1705.27
9,460,2424.47,51.11,269.39,5.27,1624.68
4,425,1286.54,106.25,321.64,3.03,1449.26
11,437,1053.24,39.73,95.75,2.41,1630.47
9,1000,1901.79,111.11,211.31,1.9,1778.65
1,553,1687.11,553,1687.11,3.05,1295.34
10,5,1094.06,0.5,109.41,218.81,1361.08
12,931,864.21,77.58,72.02,0.93,1663.58
6,436,914.53,72.67,152.42,2.1,1389.11
3,1074,247.32,358,82.44,0.23,636.02
9,896,1398.54,99.56,155.39,1.56,1727.1
1,462,2047.57,462,2047.57,4.43,1202.9
3,665,2418.16,221.67,806.05,3.64,1490.96
11,532,2419.86,48.36,219.99,4.55,1653.69
9,483,52.64,53.67,5.85,0.11,949.04
12,296,326.83,24.67,27.24,1.1,981.72
9,131,1990,14.56,221.11,15.19,1557.2
6,836,2035.17,139.33,339.2,2.43,1718.79
10,532,1223.36,53.2,122.34,2.3,1631.49
14,595,2140.61,42.5,152.9,3.6,1989.13
7,623,1894.02,89,270.57,3.04,1739.49
5,1077,2234.35,215.4,446.87,2.07,1665.23
5,579,1018.52,115.8,203.7,1.76,1468.01
8,255,1817.19,31.88,227.15,7.13,1510.91
8,1009,1378.07,126.13,172.26,1.37,1903.76
10,87,498.96,8.7,49.9,5.74,781.97
1,809,1734.56,809,1734.56,2.14,1447.25
9,1079,1981.94,119.89,220.22,1.84,1763.16
8,1134,1049.84,141.75,131.23,0.93,2073.13
8,403,654.97,50.38,81.87,1.63,895.14
8,534,429.88,66.75,53.74,0.81,916.02
13,564,2245.56,43.38,172.74,3.98,1745.09
2,752,958.29,376,479.15,1.27,1144.41
11,293,1410,26.64,128.18,4.81,1673.7
5,919,470.23,183.8,94.05,0.51,1119.17
5,103,333.22,20.6,66.64,3.24,573.58
1,893,19.76,893,19.76,0.02,570.71
12,37,52.65,3.08,4.39,1.42,789.01
8,1142,776.74,142.75,97.09,0.68,1827.44
5,332,218.03,66.4,43.61,0.66,801.73
7,950,1739.62,135.71,248.52,1.83,2032.23
9,223,1916.03,24.78,212.89,8.59,1623.73
6,522,1210.87,87,201.81,2.32,1577.01
12,46,2077.07,3.83,173.09,45.15,1666.29
2,252,1545.94,126,772.97,6.13,1300.19
14,999,619.42,71.36,44.24,0.62,1510.57
13,125,2004.61,9.62,154.2,16.04,1721.56
9,597,625.99,66.33,69.55,1.05,990.84
3,289,853.79,96.33,284.6,2.95,969.85
7,953,1918.24,136.14,274.03,2.01,1833.56
4,275,2359.64,68.75,589.91,8.58,1483.58
5,755,1584.41,151,316.88,2.1,1729.08
9,803,880.17,89.22,97.8,1.1,1589.75
11,293,285.14,26.64,25.92,0.97,966.87
6,164,1460.21,27.33,243.37,8.9,1535.3
12,675,2277.93,56.25,189.83,3.37,1807.33
11,859,146.71,78.09,13.34,0.17,1267.98
2,296,1878.7,148,939.35,6.35,1354
7,300,2417.85,42.86,345.41,8.06,1634.04
2,1155,1517.18,577.5,758.59,1.31,1543.17
5,765,480.48,153,96.1,0.63,1038.42
9,1097,2330.2,121.89,258.91,2.12,1728.07
4,422,2049.71,105.5,512.43,4.86,1491.9
14,1020,510.33,72.86,36.45,0.5,1406.95
4,205,545.57,51.25,136.39,2.66,682.22
12,1046,1850.85,87.17,154.24,1.77,1875.72
4,1001,739.08,250.25,184.77,0.74,1116.31
9,938,742.17,104.22,82.46,0.79,1632.1
5,351,407.74,70.2,81.55,1.16,883.11
9,748,653.42,83.11,72.6,0.87,1249.66
13,1186,2462.26,91.23,189.4,2.08,1906.35
6,384,1656.04,64,276.01,4.31,1682.33
10,150,418.41,15,41.84,2.79,844.9
10,783,158.93,78.3,15.89,0.2,993.55
6,372,2494.69,62,415.78,6.71,1742.34
10,958,1643.76,95.8,164.38,1.72,1827.18
8,34,1225.2,4.25,153.15,36.04,1438.52
7,151,2461.93,21.57,351.7,16.3,1516.58
7,150,1379.35,21.43,197.05,9.2,1500.09
6,751,2085.98,125.17,347.66,2.78,1757.81
7,568,159.12,81.14,22.73,0.28,738.92
12,574,2240.9,47.83,186.74,3.9,1785.72
13,36,808.38,2.77,62.18,22.46,1190.16
14,595,1818.77,42.5,129.91,3.06,1889.9
7,381,2342.27,54.43,334.61,6.15,1705.24
14,174,815.3,12.43,58.24,4.69,1295.14
11,226,2013.45,20.55,183.04,8.91,1590.82
13,137,1505.66,10.54,115.82,10.99,1777.72
13,774,206.45,59.54,15.88,0.27,1110
5,1120,1514.91,224,302.98,1.35,1658.97
4,862,2335.55,215.5,583.89,2.71,1698.94
8,829,1147.89,103.63,143.49,1.38,2004.34
4,380,446.66,95,111.67,1.18,764.24
9,238,1197.83,26.44,133.09,5.03,1560.78
13,1199,493,92.23,37.92,0.41,1634.13
12,710,1249.41,59.17,104.12,1.76,1921.09
14,719,1973.14,51.36,140.94,2.74,1980.99
1,482,1697.08,482,1697.08,3.52,1198.24
9,444,725.31,49.33,80.59,1.63,1062.52
11,610,1990.79,55.45,180.98,3.26,1753.56
4,238,1707.28,59.5,426.82,7.17,1483.48
2,299,1612.7,149.5,806.35,5.39,1282.8
10,273,799.9,27.3,79.99,2.93,1155.05
3,154,274.04,51.33,91.35,1.78,406.91
7,636,697.02,90.86,99.57,1.1,1276.06
2,1038,685.07,519,342.54,0.66,962.14
2,798,2334.41,399,1167.21,2.93,1485.4
12,601,2166.56,50.08,180.55,3.6,1918.46
6,290,814.04,48.33,135.67,2.81,1077.35
8,16,259.02,2,32.38,16.19,543.56
8,303,1072.44,37.88,134.06,3.54,1453.25
11,372,2048.26,33.82,186.21,5.51,1632.61
3,864,2338.52,288,779.51,2.71,1513.04
11,913,2253.41,83,204.86,2.47,1758.56
14,805,834.06,57.5,59.58,1.04,1683.49
5,905,2317.31,181,463.46,2.56,1691.38
10,728,226.53,72.8,22.65,0.31,1060.47
4,842,893.25,210.5,223.31,1.06,1324.64
5,117,953.06,23.4,190.61,8.15,1116.8
12,307,957.17,25.58,79.76,3.12,1432.75
9,51,314.81,5.67,34.98,6.17,704.94
7,1071,841.11,153,120.16,0.79,1699.9
13,922,1510.22,70.92,116.17,1.64,1967.87
8,867,2373.39,108.38,296.67,2.74,1747.22
11,1013,1483.3,92.09,134.85,1.46,1952.8
6,1148,1525.81,191.33,254.3,1.33,1776.48
12,158,2195.67,13.17,182.97,13.9,1625.46
5,1010,2054.21,202,410.84,2.03,1810.37
1,682,1517.04,682,1517.04,2.22,1376.04
5,14,78.33,2.8,15.67,5.6,406.7
6,1203,1900.48,200.5,316.75,1.58,1972.88
4,810,1852.31,202.5,463.08,2.29,1575.87
3,760,2073.25,253.33,691.08,2.73,1522.45
7,868,625.09,124,89.3,0.72,1403.48
7,205,103.31,29.29,14.76,0.5,683.1
5,387,1882.35,77.4,376.47,4.86,1588.8
11,447,130.07,40.64,11.82,0.29,852.02
9,482,1348.44,53.56,149.83,2.8,1633.26
7,15,2436.67,2.14,348.1,162.44,1459.63
10,955,1182.33,95.5,118.23,1.24,1950.3
5,41,2314.68,8.2,462.94,56.46,1500.28
2,1189,1164.74,594.5,582.37,0.98,1666.52
2,762,519.74,381,259.87,0.68,752.69
10,895,937.46,89.5,93.75,1.05,1714.8
13,858,2258.01,66,173.69,2.63,1889.71
11,650,524.8,59.09,47.71,0.81,1179.09
4,198,2106.63,49.5,526.66,10.64,1450.67
1,791,1927.75,791,1927.75,2.44,1419.88
14,1020,1201.75,72.86,85.84,1.18,2337.73
12,59,2247.39,4.92,187.28,38.09,1629.92
8,626,545.84,78.25,68.23,0.87,1142.89
5,57,559.05,11.4,111.81,9.81,639.73
5,908,716.7,181.6,143.34,0.79,1375.88
13,8,78.44,0.62,6.03,9.81,713.71
11,684,672.51,62.18,61.14,0.98,1487.93
4,180,2365.46,45,591.37,13.14,1443.02
13,511,1628.33,39.31,125.26,3.19,1915.79
4,231,20.39,57.75,5.1,0.09,499.26
9,1139,1973.31,126.56,219.26,1.73,1759.33
9,578,1167.71,64.22,129.75,2.02,1587.21
14,530,2028.06,37.86,144.86,3.83,2079.14
7,316,141.89,45.14,20.27,0.45,837.8
2,897,2382.39,448.5,1191.2,2.66,1437.95
12,121,608.92,10.08,50.74,5.03,1033.44
4,764,1417.94,191,354.49,1.86,1682.1
11,663,2141.08,60.27,194.64,3.23,1715.29
3,91,1640.15,30.33,546.72,18.02,1338.3
1,1035,1289.84,1035,1289.84,1.25,1317.33
7,125,193.62,17.86,27.66,1.55,616.24
12,437,639.96,36.42,53.33,1.46,1183.74
4,84,2243.12,21,560.78,26.7,1392.1
5,716,1316.6,143.2,263.32,1.84,1686.98
12,18,2461.37,1.5,205.11,136.74,1556.78
3,560,1664.15,186.67,554.72,2.97,1419.48
3,504,63.39,168,21.13,0.13,568.17
5,1126,664.9,225.2,132.98,0.59,1336.74
1,1092,390.55,1092,390.55,0.36,589.11
11,273,502.37,24.82,45.67,1.84,862.61
4,6,458.7,1.5,114.68,76.45,459.21
1,620,490.45,620,490.45,0.79,678.74
5,659,2083.15,131.8,416.63,3.16,1645.06
12,353,2150.17,29.42,179.18,6.09,1765.67
13,618,1982.27,47.54,152.48,3.21,2000.39
2,1158,2355.92,579,1177.96,2.03,1528.91
3,512,1251.6,170.67,417.2,2.44,1360.76
5,840,941.55,168,188.31,1.12,1676.48
7,1086,2319.81,155.14,331.4,2.14,1858.36
13,1152,864.45,88.62,66.5,0.75,1797.14
4,840,1375.42,210,343.86,1.64,1580.95
4,724,89.99,181,22.5,0.12,667.98
3,327,2141.92,109,713.97,6.55,1438.41
13,1055,2005.84,81.15,154.3,1.9,1997.52
1,931,327.97,931,327.97,0.35,609.73
10,108,2181.67,10.8,218.17,20.2,1632.42
13,1204,24.47,92.62,1.88,0.02,1344.17
5,517,919.25,103.4,183.85,1.78,1288.31
8,897,1536.36,112.13,192.05,1.71,1944.62
12,988,2492.79,82.33,207.73,2.52,1753.84
1,1041,1630.25,1041,1630.25,1.57,1466.95
10,454,2359.42,45.4,235.94,5.2,1619
5,406,1084.16,81.2,216.83,2.67,1399.39
4,103,1790.07,25.75,447.52,17.38,1394.55
11,198,269.95,18,24.54,1.36,695.66
4,477,18.97,119.25,4.74,0.04,631.5
11,67,2455.53,6.09,223.23,36.65,1572.91
7,789,185.73,112.71,26.53,0.24,966.26
13,70,993.7,5.38,76.44,14.2,1492.02
12,59,858.62,4.92,71.55,14.55,1377.35
3,1027,180,342.33,60,0.18,804.96
3,275,543.74,91.67,181.25,1.98,572.73
12,180,384.42,15,32.04,2.14,873.97
3,334,2449.89,111.33,816.63,7.34,1472.53
7,759,1694.02,108.43,242,2.23,1960.92
10,174,1991.96,17.4,199.2,11.45,1542.4
1,780,366.37,780,366.37,0.47,516.69
9,934,415.5,103.78,46.17,0.44,1208.82
8,936,556.28,117,69.54,0.59,1277.26
1,1002,2320.13,1002,2320.13,2.32,1475.4
7,83,137.84,11.86,19.69,1.66,482.65
9,191,789.52,21.22,87.72,4.13,1058.5
3,280,1090.37,93.33,363.46,3.89,1256.92
5,644,2383.17,128.8,476.63,3.7,1785.53
10,498,992.86,49.8,99.29,1.99,1395.03
4,317,1793.28,79.25,448.32,5.66,1518.93
4,1100,370.61,275,92.65,0.34,860.32
4,263,2469.06,65.75,617.27,9.39,1503.98
4,932,1287.34,233,321.84,1.38,1513.28
14,343,2013.4,24.5,143.81,5.87,1839.05
2,274,888.24,137,444.12,3.24,917.79
1,759,330.29,759,330.29,0.44,500.92
8,204,2178.45,25.5,272.31,10.68,1506.38
10,396,2068.65,39.6,206.87,5.22,1556.68
6,840,870.82,140,145.14,1.04,1496.46
7,756,1473.59,108,210.51,1.95,1961.96
4,1048,279.75,262,69.94,0.27,780.15
9,800,39.96,88.89,4.44,0.05,1158.68
3,240,1895.67,80,631.89,7.9,1386.33
13,997,920.48,76.69,70.81,0.92,2124.16
2,826,2163.39,413,1081.7,2.62,1523.26
6,194,914.25,32.33,152.38,4.71,1168.72
4,333,1934.76,83.25,483.69,5.81,1467.52
8,1053,1864.01,131.63,233,1.77,1794.57
12,466,1291.33,38.83,107.61,2.77,1770.37
8,916,2417.62,114.5,302.2,2.64,1755.05
11,322,1251.3,29.27,113.75,3.89,1732.46
13,11,1114.96,0.85,85.77,101.36,1555.48
7,250,364.79,35.71,52.11,1.46,718.71
5,247,296.51,49.4,59.3,1.2,594.93
14,1158,2104.61,82.71,150.33,1.82,1899.69
11,1095,1071.83,99.55,97.44,0.98,2159.33
11,1149,270.81,104.45,24.62,0.24,1284.51
9,14,1057.38,1.56,117.49,75.53,1372.31
4,184,983.77,46,245.94,5.35,1202.69
6,135,2488.22,22.5,414.7,18.43,1561.2
5,717,1508.97,143.4,301.79,2.1,1722.49
1,389,1964.96,389,1964.96,5.05,1228.94
3,1136,1296.54,378.67,432.18,1.14,1536.6
13,145,2202.42,11.15,169.42,15.19,1716.13
1,1122,861.5,1122,861.5,0.77,1081.05
14,383,97.95,27.36,7,0.26,1203.93
1,309,1211.37,309,1211.37,3.92,1110.55
14,1090,2248.68,77.86,160.62,2.06,1905.5
3,278,994.9,92.67,331.63,3.58,1167.78
7,1109,2397.29,158.43,342.47,2.16,1917.57
12,643,2194.16,53.58,182.85,3.41,1758.03
11,176,1050.67,16,95.52,5.97,1444.13
7,309,1021.75,44.14,145.96,3.31,1309.85
3,992,1897.41,330.67,632.47,1.91,1539
3,175,440.19,58.33,146.73,2.52,431.17
5,895,2329.69,179,465.94,2.6,1791.96
8,372,348.37,46.5,43.55,0.94,950.24
5,567,193.11,113.4,38.62,0.34,718.3
8,978,710.43,122.25,88.8,0.73,1624.58
1,1082,1809.49,1082,1809.49,1.67,446.94
11,636,2238.97,57.82,203.54,3.52,1699.94
6,370,315.09,61.67,52.52,0.85,946.39
8,413,222.83,51.63,27.85,0.54,802.95
3,399,141.39,133,47.13,0.35,546.04
